,V0,X,Y,FFID,Elevation
5727,1.2,377039.6,6345262.18,22175114,118.3
5728,1.125,375464.33,6351692.61,23495103,124.0
5729,1.125,375513.91,6351700.5,23495104,124.3
5730,1.2857142857142858,374995.32,6354654.32,24095103,129.6
5731,1.0588235294117647,375563.39,6351708.3,23495105,124.9
5732,1.125,376992.52,6345558.56,22235114,118.6
5733,1.2,375044.6,6354662.22,24095104,129.5
5734,1.125,375612.28,6351716.1,23495106,124.9
5735,1.125,376943.14,6345550.76,22235113,118.4
5736,1.2857142857142858,375093.78,6354669.91,24095105,129.4
5737,1.2,375661.76,6351723.89,23495107,124.8
5738,1.125,376894.16,6345542.97,22235112,118.3
